"Name","Rank","Superkingdom","Kingdom","Phylum","Class","Order","Family","Genus","Species","LFQ intensity KES1","LFQ intensity KES2","LFQ intensity KES3","LFQ intensity PBS1","LFQ intensity PBS2","LFQ intensity PBS3","LFQ intensity W1","LFQ intensity W2","LFQ intensity W3"
"Bacteria","Superkingdom","Bacteria","","","","","","","","1.65263921084E11","1.57244298154E11","1.68407704419E11","2.3810174674E11","2.28714387407E11","2.21751827961E11","2.2908132316E11","2.205762981E11","2.37054219171E11"
"Prevotella dentalis","Species","Bacteria","","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella","Prevotella dentalis","4.312696E7","4321470.0","9580200.0","4477240.0","1980700.0","0.0","3442200.0","3739700.0","2346300.0"
"Coriobacteriales","Order","Bacteria","","Actinobacteria","Coriobacteriia","Coriobacteriales","","","","2.274350631E10","2.0546848788E10","2.182916029E10","4.4307822E9","4.309781284E9","4.72155589E9","4.99505475E9","4.6012507E9","3.52258598E9"
"Coriobacteriia","Class","Bacteria","","Actinobacteria","Coriobacteriia","","","","","2.329348484E10","2.1099420458E10","2.234697589E10","4.58596981E9","4.440271574E9","4.88949729E9","5.16286903E9","4.7878279E9","3.66133874E9"
"Dialister","Genus","Bacteria","","Firmicutes","Negativicutes","Veillonellales","Veillonellaceae","Dialister","","1.39422796E9","1.7281772E9","1.55632134E9","3.4521222E8","3.967084E8","3.5812755E8","3.6985663E8","4.2445754E8","3.4104489E8"
"Bifidobacteriales","Order","Bacteria","","Actinobacteria","Actinobacteria","Bifidobacteriales","","","","1.99718718E9","1.54450015E9","1.50665131E9","6.3757195E8","6.5663311E8","6.6598812E8","6.6909601E8","7.2049459E8","5.3981119E8"
"Oscillibacter","Genus","Bacteria","","Firmicutes","Clostridia","Clostridiales","Oscillospiraceae","Oscillibacter","","1.79522E7","1.404236E7","1.36213E7","1.656724E8","1.576118E8","1.454232E8","1.956677E8","1.719933E8","2.058897E8"
"Corynebacteriales","Order","Bacteria","","Actinobacteria","Actinobacteria","Corynebacteriales","","","","5623360.0","1.4143E7","1.23698E7","1.29015E7","1.29688E7","1.3647E7","1.13656E7","9848500.0","2.15445E7"
"Bacteroides coprophilus","Species","Bacteria","","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides coprophilus","2.74808E7","2.31405E7","4.68956E7","1.6668E7","1.1211E7","1.4964E7","1.2758E7","1.6661E7","1.4094E7"
"Bacteroides pyogenes","Species","Bacteria","","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides pyogenes","1.1513E7","3890500.0","1630800.0","5789000.0","1.02487E7","8882700.0","8463100.0","1.18961E7","8998000.0"
"Bacteroides plebeius","Species","Bacteria","","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides plebeius","9.626894E7","8.389251E7","1.521907E8","2.567313E7","1.751637E7","1.393888E7","2.581576E7","2.148164E7","3.481888E7"
"Flavonifractor","Genus","Bacteria","","Firmicutes","Clostridia","Clostridiales","","Flavonifractor","","6690000.0","6948100.0","3614900.0","3.91832E7","4.50548E7","5.05338E7","4.45382E7","4.3568E7","4.8639E7"
"Clostridium saccharolyticum","Species","Bacteria","","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnoclostridium","Clostridium saccharolyticum","775500.0","0.0","1030600.0","3.90511E7","3.50928E7","2.44402E7","3.12293E7","5.20568E7","4.46972E7"
"Blautia","Genus","Bacteria","","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Blautia","","1.61174715E9","1.6517092E9","1.73348224E9","1.107815E9","1.18024719E9","1.12447504E9","1.119753E9","1.1433317E9","9.9256649E8"
"Chlamydiales","Order","Bacteria","","Chlamydiae","Chlamydiia","Chlamydiales","","","","3.06084E7","1.14267E7","2.48902E7","0.0","1060100.0","677580.0","819510.0","1170200.0","1054000.0"
"Alistipes shahii","Species","Bacteria","","Bacteroidetes","Bacteroidia","Bacteroidales","Rikenellaceae","Alistipes","Alistipes shahii","2.338971E7","4.354557E7","3.764802E7","8.172581E8","1.0082178E9","7.945E8","1.00332215E9","1.05096775E9","9.266497E8"
"Desulfovibrionales","Order","Bacteria","","Proteobacteria","Deltaproteobacteria","Desulfovibrionales","","","","1197100.0","4516500.0","6404010.0","2.37257E7","1.56576E7","1.90432E7","3.68228E7","2.67131E7","1.85511E7"
"Bacteroides intestinalis","Species","Bacteria","","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides intestinalis","4330700.0","1486800.0","1757700.0","8027400.0","9514000.0","1.02482E7","7466000.0","1.23037E7","7774200.0"
"Coriobacteriaceae","Family","Bacteria","","Actinobacteria","Coriobacteriia","Coriobacteriales","Coriobacteriaceae","","","1.952320075E10","1.7327033748E10","1.893721401E10","3.99690655E9","3.838428264E9","4.19846272E9","4.51426142E9","4.05248612E9","3.12116708E9"
"Alistipes","Genus","Bacteria","","Bacteroidetes","Bacteroidia","Bacteroidales","Rikenellaceae","Alistipes","","4.6498379E8","6.7088557E8","5.7462093E8","6.11877213E9","6.90803372E9","6.40340727E9","6.96590188E9","7.05348325E9","5.87949589E9"
"Ruminococcus lactaris","Species","Bacteria","","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcus","Ruminococcus lactaris","1.1002E7","2.27996E7","1.1966E7","1.34506E7","1.31978E7","1.03519E7","1.39207E7","1.32088E7","9265200.0"
"Lactobacillaceae","Family","Bacteria","","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","","","1.1407248E8","1.1980101E8","9.42785E7","4.40441E7","2.822835E8","2.015395E8","2.9831997E8","7.024709E7","5.632922E7"
"Erysipelotrichia","Class","Bacteria","","Firmicutes","Erysipelotrichia","","","","","5.7508E7","5.98856E7","6.03688E7","4.6173E7","4.9603E7","6.22611E7","5.4191E7","4.536833E7","3.83666E7"
"Erysipelotrichales","Order","Bacteria","","Firmicutes","Erysipelotrichia","Erysipelotrichales","","","","5.7508E7","5.98856E7","6.03688E7","4.6173E7","4.9603E7","6.22611E7","5.4191E7","4.536833E7","3.83666E7"
"Blautia hydrogenotrophica","Species","Bacteria","","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Blautia","Blautia hydrogenotrophica","2.35404E7","3.10328E7","3.20301E7","3.26329E7","3.6904E7","4.74719E7","5.00527E7","3.72092E7","3.72205E7"
"Proteobacteria","Phylum","Bacteria","","Proteobacteria","","","","","","4.2675777E8","5.7781708E8","4.4220351E8","1.18770589E9","1.22210228E9","1.2729313E9","1.2832552E9","1.16834779E9","1.22056451E9"
"Bifidobacteriaceae","Family","Bacteria","","Actinobacteria","Actinobacteria","Bifidobacteriales","Bifidobacteriaceae","","","1.99718718E9","1.54450015E9","1.50665131E9","6.3757195E8","6.5663311E8","6.6598812E8","6.6909601E8","7.2049459E8","5.3981119E8"
"Enterobacterales","Order","Bacteria","","Proteobacteria","Gammaproteobacteria","Enterobacterales","","","","2.581563E7","1.1827E7","1.119186E7","1.940094E8","2.0999677E8","2.503567E8","2.385671E8","1.584316E8","1.459092E8"
"Gammaproteobacteria","Class","Bacteria","","Proteobacteria","Gammaproteobacteria","","","","","5.71298E7","4.642498E7","3.671118E7","3.0079501E8","3.2426357E8","3.912318E8","3.703706E8","2.893968E8","2.784918E8"
"Firmicutes","Phylum","Bacteria","","Firmicutes","","","","","","2.8097155041E10","3.850503324E10","3.0613362498E10","1.5200803348E11","1.42608013288E11","1.35599111511E11","1.4370376751E11","1.3645672009E11","1.5327033144E11"
"Ruminococcus sp. DSM 100440","Species","Bacteria","","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcus","Ruminococcus sp. DSM 100440","2183300.0","2090200.0","1909600.0","4588600.0","2746700.0","1.21762E7","9191200.0","2791500.0","2079600.0"
"Alloprevotella","Genus","Bacteria","","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Alloprevotella","","5.51563E7","1.05455E7","5.43167E7","1.01447E7","1.60129E7","1.78137E7","1.83635E7","1.78433E7","1.54082E7"
"[Eubacterium] dolichum","Species","Bacteria","","Firmicutes","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae","","[Eubacterium] dolichum","1.3777E7","2199400.0","1.12583E7","3266000.0","1.0867E7","6941600.0","0.0","557330.0","0.0"
"Veillonellaceae","Family","Bacteria","","Firmicutes","Negativicutes","Veillonellales","Veillonellaceae","","","1.40366176E9","1.7418485E9","1.57443854E9","3.5112902E8","4.064927E8","3.7000075E8","3.8359433E8","4.3099494E8","3.4879259E8"
"Clostridiaceae","Family","Bacteria","","Firmicutes","Clostridia","Clostridiales","Clostridiaceae","","","2.7988716E8","9.9721015E8","1.13025397E9","2.34611243E9","1.78571493E9","2.23835774E9","2.62094708E9","1.79206542E9","1.6174929E9"
"Ruminococcus","Genus","Bacteria","","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcus","","2.95296781E9","4.57581418E9","3.43023225E9","1.23034335E9","1.23478223E9","1.25720476E9","1.24024148E9","1.41225972E9","1.04754929E9"
"Lachnoclostridium","Genus","Bacteria","","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnoclostridium","","2.14235E7","1.43657E7","1.16674E7","1.3912943E8","1.236894E8","1.3515875E8","1.3693253E8","1.4556064E8","1.703034E8"
"Ruminococcus albus","Species","Bacteria","","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcus","Ruminococcus albus","9302900.0","1.874353E7","9292600.0","5.0819E7","4.23255E7","2.68524E7","3.5819E7","4.70841E7","6.5624E7"
"Roseburia hominis","Species","Bacteria","","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Roseburia","Roseburia hominis","2.6694076E8","3.323196E8","2.569867E8","3.917534868E10","3.551162238E10","3.5166911811E10","3.554409904E10","3.113555441E10","4.349228894E10"
"Roseburia faecis","Species","Bacteria","","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Roseburia","Roseburia faecis","1.28352E7","1.23928E7","1.99889E7","3.627142E7","2.713002E7","3.6427E7","4.92374E7","2.85631E7","3.803136E7"
"Phascolarctobacterium succinatutens","Species","Bacteria","","Firmicutes","Negativicutes","Acidaminococcales","Acidaminococcaceae","Phascolarctobacterium","Phascolarctobacterium succinatutens","0.0","475590.0","0.0","1.47421E7","2.26721E7","1.34767E7","1.49487E7","1.55386E7","1.77147E7"
"Prevotella multisaccharivorax","Species","Bacteria","","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella","Prevotella multisaccharivorax","4.5036E7","3.18571E7","5.66315E7","9603800.0","1.59923E7","1.3532E7","1.35094E7","1.87975E7","1.09122E7"
"Collinsella tanakaei","Species","Bacteria","","Actinobacteria","Coriobacteriia","Coriobacteriales","Coriobacteriaceae","Collinsella","Collinsella tanakaei","2.18863E7","3.04391E7","3.937959E7","5237000.0","6768800.0","1.03509E7","8875900.0","9030200.0","5567300.0"
"Prevotella salivae","Species","Bacteria","","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella","Prevotella salivae","7906370.0","3380700.0","1.39015E7","6870900.0","6449300.0","1776500.0","7820500.0","9390300.0","1108900.0"
"Phascolarctobacterium","Genus","Bacteria","","Firmicutes","Negativicutes","Acidaminococcales","Acidaminococcaceae","Phascolarctobacterium","","1.208125E7","2.363213E7","1.552884E7","1.901032E8","2.245737E8","2.420832E8","2.0240869E8","1.9457129E8","1.820285E8"
"Bacteroides helcogenes","Species","Bacteria","","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides helcogenes","9798900.0","4792800.0","8785400.0","0.0","0.0","971350.0","2581500.0","0.0","0.0"
"Bacteroides finegoldii","Species","Bacteria","","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides finegoldii","1.9257728E8","2.3006106E8","3.4629564E8","1.5894405E8","1.5459549E8","1.5386814E8","1.8093918E8","1.5303511E8","1.685135E8"
"Coprococcus","Genus","Bacteria","","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Coprococcus","","1.0794686E8","1.5809183E8","1.0029133E8","1.06585725E9","1.00532635E9","1.0590701E9","9.417969E8","1.01791726E9","7.588415E8"
"Coprococcus eutactus","Species","Bacteria","","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Coprococcus","Coprococcus eutactus","440270.0","0.0","589250.0","2.97689E7","3.60725E7","3.76267E7","3.5934E7","4.1434E7","3.10136E7"
"Prevotella micans","Species","Bacteria","","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella","Prevotella micans","2.07161E8","1.199768E8","1.65027E8","3.56294E7","3.66991E7","3.64316E7","4.32882E7","5.20638E7","4.08582E7"
"Prevotella bryantii","Species","Bacteria","","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella","Prevotella bryantii","2.8092E7","1.99721E7","2.66707E7","3187200.0","2989400.0","3377900.0","4298400.0","2951500.0","3834500.0"
"Atopobiaceae","Family","Bacteria","","Actinobacteria","Coriobacteriia","Coriobacteriales","Atopobiaceae","","","8.2317486E8","1.0748873E9","8.6380248E8","5.096268E7","3.880023E7","2.71931E7","2.409498E7","2.831192E7","3.381517E7"
"Prevotella copri","Species","Bacteria","","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella","Prevotella copri","1.364984782E10","1.005168037E10","1.354052713E10","3.2344881E9","3.40583795E9","3.26685258E9","3.11094448E9","3.4590507E9","3.29114484E9"
"Acidaminococcales","Order","Bacteria","","Firmicutes","Negativicutes","Acidaminococcales","","","","4.706905E7","5.997213E7","5.256664E7","2.021389E8","2.924081E8","3.057851E8","2.1273039E8","2.0451179E8","1.9529307E8"
"Veillonellales","Order","Bacteria","","Firmicutes","Negativicutes","Veillonellales","","","","1.40366176E9","1.7418485E9","1.57443854E9","3.5112902E8","4.064927E8","3.7000075E8","3.8359433E8","4.3099494E8","3.4879259E8"
"Selenomonadaceae","Family","Bacteria","","Firmicutes","Negativicutes","Selenomonadales","Selenomonadaceae","","","6593190.0","6293900.0","3968700.0","9723700.0","0.0","9655160.0","1.20446E7","3169700.0","0.0"
